@ HyperIMU -ianovir - 2018
@ Date:Tue Mar 20 17:14:29 PDT 2018, Sampling Time:20ms

BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z,AK09915_magnetometer.x,AK09915_magnetometer.y,AK09915_magnetometer.z
0.028740235,0.4263135,9.72857,0.0037845694,0.006980135,-3.8415164E-5,25.2,-4.65,-38.550003
0.009580079,0.25866213,9.75731,0.006980363,-0.0010093482,-0.0011036796,25.35,-4.8,-37.95
-0.028740235,0.39278322,9.690249,0.0037845694,5.885485E-4,0.0058205393,24.0,-5.1000004,-38.7
-0.09101075,0.3305127,9.6758795,0.0016540405,-4.7671597E-4,0.0036900104,24.150002,-5.25,-38.550003
-0.028740235,0.3879932,9.6758795,-4.7648838E-4,0.001653813,0.0036900104,25.650002,-4.8,-40.350002
-0.019160157,0.42152345,9.656719,0.0032519372,0.004849606,-0.0048321052,25.650002,-5.8500004,-39.15
-0.009580079,0.39278322,9.656719,-0.0015417528,-4.7671597E-4,-0.0011036796,24.300001,-4.5,-37.95
-0.023950197,0.364043,9.6615095,-0.0058028107,0.002186445,-0.0058973697,24.150002,-4.65,-39.300003
-0.009580079,0.4023633,9.64714,-0.0015417528,0.006980135,-0.0048321052,24.150002,-5.55,-39.75
-0.100590825,0.37362307,9.666299,0.0011214083,-0.0042051417,-0.002168944,25.35,-4.8,-39.9
-0.038320314,0.34488282,9.685459,0.0021866728,-0.0010093482,-5.710474E-4,23.400002,-5.25,-38.550003
-0.023950197,0.38320315,9.70941,0.0043172017,5.5916258E-5,0.0063531715,23.85,-6.0,-38.550003
0.009580079,0.364043,9.671089,-0.002074385,-0.0031398772,0.002624746,24.6,-5.4,-39.15
0.0047900393,0.37362307,9.704619,0.0011214083,-0.0020746128,0.0031573782,25.500002,-6.3,-37.65
0.047900394,0.37362307,9.70941,-0.0031396495,0.0011211807,-0.002168944,24.900002,-5.8500004,-38.25
-0.014370117,0.3544629,9.618399,0.0037845694,0.0027190773,-0.004299473,25.35,-4.5,-38.25
-0.038320314,0.39278322,9.70941,-0.004217997,5.739836E-4,-0.004829955,24.300001,-6.4500003,-39.9
0.038320314,0.3879932,9.72378,0.0016409573,0.0032371448,-0.0064278515,24.150002,-5.55,-38.550003
-0.05269043,0.3784131,9.6615095,4.3060576E-5,4.1351363E-5,-0.0058952193,23.85,-4.65,-38.850002
